Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,AUTH_TOKEN,15395,15391,6,8.249332984743404,0.9854000018094666,313.6819999999716,68.94913933095161,128.998222130112,128.964705216275,6,8,10,11,15,21,35,47,73,310,310
GET,SECURE_PING,39935,39626,6,7.680348774258929,0.9137999986705836,85.7159999977739,149.082809565544,334.6244885200404,332.03530692613305,6,8,9,11,14,19,31,42,68,77,86
GET,SECURE_STATE,39973,39620,6,7.682278140255363,0.8351000033144373,77.51160000043456,148.92479923948665,334.94289920149185,331.98503155537753,6,8,9,11,14,19,31,42,68,76,78
,Aggregated,95303,94637,6,7.773070246483219,0.8351000033144373,313.6819999999716,136.0719494664386,798.5656098516442,792.9850436977856,6,8,9,11,14,19,31,43,69,78,310
