Method,Name,Error,Occurrences
POST,/api/auth/token/,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /api/auth/token/'),285
POST,/api/auth/token/,HTTPError('429 Client Error: Unknown Status for url: /api/auth/token/'),2
GET,/api/secure/state (valid),HTTPError('503 Server Error: Service Temporarily Unavailable for url: /api/secure/state (valid)'),1721
GET,/api/secure/state (invalid),"CatchResponseError('Expected 401, got 503')",4838
GET,/api/secure/ping (valid),HTTPError('503 Server Error: Service Temporarily Unavailable for url: /api/secure/ping (valid)'),2473
GET,/api/secure/ping (invalid),"CatchResponseError('Expected 401, got 503')",4949
