Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/token/,294,287,49,65.02584591834773,6.8349000002854154,347.9412999995475,203.06802721088437,1.6425434524756057,1.6034352750357104,50,67,80,89,140,160,280,320,350,350,350
GET,/api/secure/ping (invalid),5273,4949,1,10.77507934761663,0.6690000000162399,15790.466500000548,195.46387255831596,29.459631377224042,27.64948145000603,1,2,2,2,2,7,8,9,35,16000,16000
GET,/api/secure/ping (valid),2632,2473,1,7.894735220368928,0.6769999999960419,15741.812299999765,187.15311550151975,14.70467471740066,13.816360401265893,1,2,2,2,2,8,9,10,21,16000,16000
GET,/api/secure/state (invalid),5147,4838,1,10.950976607739053,0.6798999993407051,15857.686600000306,195.49912570429376,28.755684183305927,27.029337493459117,1,2,2,2,2,7,8,9,28,16000,16000
GET,/api/secure/state (valid),1819,1721,1,18.665148158334603,0.7043000005069189,15303.85269999988,189.45739417262232,10.162539251881384,9.615024767722847,1,2,2,2,2,8,9,10,15000,15000,15000
,Aggregated,15165,14268,1,12.333011295748909,0.6690000000162399,15857.686600000306,193.46040224200462,84.72507298228761,79.7136393874896,1,2,2,2,3,8,20,52,270,16000,16000
