Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,AUTH_TOKEN,15294,15290,6,7.546206218127585,0.8635000012873206,515.7120000003488,86.75349810383157,128.14104459750317,128.10753052803867,6,8,9,10,13,15,19,22,45,510,520
GET,SECURE_PING,39735,39731,6,7.452081650926032,0.8740999983274378,537.1313000032387,88.91023027557569,332.9203875429442,332.8868734734797,6,8,9,10,12,15,19,22,45,530,540
GET,SECURE_STATE,39989,39983,6,7.5297843157043065,0.8219000010285527,536.6457999989507,89.90594913601241,335.04853095393975,334.998259849743,6,8,9,10,13,15,19,22,45,510,540
,Aggregated,95018,95004,6,7.499933563117292,0.8219000010285527,537.1313000032387,88.98214022606243,796.1099630943871,795.9926638512613,6,8,9,10,13,15,19,22,45,510,540
