Method,Name,Error,Occurrences
GET,SECURE_STATE,CatchResponseError('SECURE_STATE HTTP 403'),39389
POST,AUTH_TOKEN,CatchResponseError('AUTH_TOKEN HTTP 403'),14994
GET,SECURE_STATE,CatchResponseError('SECURE_STATE HTTP 401'),594
POST,AUTH_TOKEN,CatchResponseError('AUTH_TOKEN HTTP 429'),296
GET,SECURE_PING,CatchResponseError('SECURE_PING HTTP 403'),39135
GET,SECURE_PING,CatchResponseError('SECURE_PING HTTP 401'),596
