Method,Name,Error,Occurrences
GET,SECURE_STATE,CatchResponseError('SECURE_STATE HTTP 403'),39267
POST,AUTH_TOKEN,CatchResponseError('AUTH_TOKEN HTTP 403'),15036
GET,SECURE_STATE,CatchResponseError('SECURE_STATE HTTP 401'),618
POST,AUTH_TOKEN,CatchResponseError('AUTH_TOKEN HTTP 429'),306
GET,SECURE_PING,CatchResponseError('SECURE_PING HTTP 403'),39546
GET,SECURE_PING,CatchResponseError('SECURE_PING HTTP 401'),616
