Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,AUTH_TOKEN,15346,15342,6,7.461216766581142,1.0355000013078097,518.2201999996323,86.74416786133195,128.55265595328578,128.5191481581722,6,8,9,10,13,15,20,23,42,270,520
GET,SECURE_PING,40167,40162,6,7.383721154185079,0.7976999986567535,534.1751000014483,88.94375980282321,336.4769015818865,336.4350168379945,6,8,9,10,12,15,19,22,36,510,530
GET,SECURE_STATE,39889,39885,6,7.447533267312209,0.8548000005248468,533.794000002672,89.97405299706686,334.148109821492,334.11460202637846,6,8,9,10,12,15,19,22,38,530,530
,Aggregated,95402,95389,6,7.42286759816282,0.7976999986567535,534.1751000014483,89.02072283599925,799.1776673566643,799.0687670225451,6,8,9,10,12,15,19,22,38,520,530
