Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/token/,334,332,56,68.03292275457308,8.484699999826262,307.53419999928155,197.21556886227546,1.8639095321730523,1.8527483972498604,56,75,92,99,130,160,170,170,310,310,310
GET,/api/secure/ping (invalid),1658,1649,5,473.4908983715069,0.721799999155337,60053.82989999998,109.28648974668275,9.25258085132611,9.202355744171747,5,6,6,6,7,8,21,32000,60000,60000,60000
GET,/api/secure/ping (valid),264,260,2,822.105239772671,0.6876000006741378,60036.369400000694,128.3030303030303,1.4732698098613348,1.450947540014951,2,5,6,6,7,9,31,32000,60000,60000,60000
GET,/api/secure/state (invalid),1735,1729,3,660.6577692219156,0.7869000000937376,60057.47470000097,113.42305475504322,9.682284545868999,9.648801141099424,3,6,6,6,7,8,28,32000,60000,60000,60000
GET,/api/secure/state (valid),161,156,2,202.85910559003648,0.7709000001341337,32049.081000001024,113.94409937888199,0.8984713613169504,0.8705685240089706,2,6,6,6,7,8,11,14,32000,32000,32000
,Aggregated,4152,4126,5,530.7582453275498,0.6876000006741378,60057.47470000097,119.47808285163777,23.170516100546447,23.025421346544952,5,6,6,7,16,59,130,32000,60000,60000,60000
