Method,Name,Error,Occurrences
GET,SECURE_STATE,CatchResponseError('SECURE_STATE HTTP 401'),39541
POST,AUTH_TOKEN,CatchResponseError('AUTH_TOKEN HTTP 429'),15357
GET,SECURE_PING,CatchResponseError('SECURE_PING HTTP 401'),39563
