Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,AUTH_TOKEN,10,10,7,9.561840002425015,6.513400003314018,18.05940002668649,21.0,0.08415335762778775,0.08415335762778775,8,8,12,16,18,18,18,18,18,18,18
GET,SECURE_PING_INVALID,235,235,4,4.72415787108401,2.731899992795661,15.359299984993413,21.0,1.977603904253012,1.977603904253012,4,5,5,5,6,7,13,13,15,15,15
GET,SECURE_PING_VALID,920,920,4,4.602968587562867,2.268100011860952,25.561000016750768,21.0,7.742108901756473,7.742108901756473,4,4,5,5,6,6,8,13,26,26,26
GET,SECURE_STATE_INVALID,235,235,3,3.2237051064743008,2.2994000173639506,8.749200002057478,21.0,1.977603904253012,1.977603904253012,3,3,3,3,4,4,6,7,9,9,9
GET,SECURE_STATE_VALID,920,920,3,3.2280023908242583,2.213100000517443,26.641300006303936,21.0,7.742108901756473,7.742108901756473,3,3,3,3,4,4,5,5,27,27,27
,Aggregated,2320,2320,4,3.9516635775287106,2.213100000517443,26.641300006303936,21.0,19.523578969646756,19.523578969646756,4,4,4,4,5,6,7,12,26,27,27
