Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/token/,80,80,45,58.93887749989517,24.81370000168681,322.48790000448935,68.85,0.44585071590931813,0.44585071590931813,45,53,65,74,110,120,310,320,320,320,320
GET,/api/secure/ping (invalid),50574,50574,38,45.79597258872576,3.360900009283796,231.06630000984296,172.0,281.85567632997316,281.85567632997316,38,48,56,63,89,110,140,150,200,220,230
GET,/api/secure/ping (valid),12696,12696,38,45.74158093911385,3.3830000029411167,233.6529000021983,58.0,70.75650861480878,70.75650861480878,38,48,57,64,90,110,130,150,210,230,230
,Aggregated,63350,63350,38,45.80166913188972,3.360900009283796,322.48790000448935,149.02295185477507,353.0580356606913,353.0580356606913,38,48,56,63,89,110,140,150,210,230,320
