Method,Name,Error,Occurrences
POST,AUTH_TOKEN,CatchResponseError('AUTH_TOKEN(valid) HTTP 403'),2724
POST,AUTH_TOKEN,CatchResponseError('AUTH_TOKEN(valid) HTTP 429'),13
POST,AUTH_TOKEN,CatchResponseError('AUTH_TOKEN HTTP 401'),4
POST,AUTH_TOKEN,CatchResponseError('AUTH_TOKEN HTTP 403'),52622
POST,AUTH_TOKEN,CatchResponseError('AUTH_TOKEN HTTP 429'),283
