"run_dir","scenario","defense","notes","users","spawn_rate","run_time","host"
"2025-12-29_19-06-40__baseline_public_state__baseline__rep1","baseline_public_state","baseline","rep1","","","",""
"2025-12-29_19-08-40__auth_login_storm__attacked__rep1","auth_login_storm","attacked","rep1","","","",""
"2025-12-29_19-10-41__secure_valid_only__baseline__rep1","secure_valid_only","baseline","rep1","","","",""
"2025-12-29_19-12-41__secure_valid_only__attacked__rep1","secure_valid_only","attacked","rep1","","","",""
"2025-12-29_19-14-42__secure_mixed__baseline__rep1","secure_mixed","baseline","rep1","","","",""
"2025-12-29_19-16-42__secure_mixed__attacked__rep1","secure_mixed","attacked","rep1","","","",""
"2025-12-29_19-18-45__secure_valid_only__defended__rep1","secure_valid_only","defended","rep1","","","",""
"2025-12-29_19-20-46__secure_mixed__defended__rep1","secure_mixed","defended","rep1","","","",""
