Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/token/,80,80,36,46.294392502022674,21.793899999465793,222.95689999009483,68.85,0.44594086062511684,0.44594086062511684,38,46,54,58,73,81,220,220,220,220,220
GET,/api/secure/ping (invalid),52386,52386,30,36.839389153607,3.270799992606044,182.3451000091154,172.0,292.0132240588421,292.0132240588421,30,38,45,51,74,95,110,130,160,180,180
GET,/api/secure/ping (valid),13163,13163,30,37.14297654022292,3.294199996162206,182.6809000049252,58.0,73.37399435510515,73.37399435510515,30,38,46,51,74,98,120,130,160,170,180
,Aggregated,65629,65629,30,36.91180410794009,3.270799992606044,222.95689999009483,149.0096451263923,365.8331592745724,365.8331592745724,30,38,45,51,74,96,110,130,160,180,220
