Method,Name,Error,Occurrences
POST,/api/auth/token/,HTTPError('503 Server Error: Service Temporarily Unavailable for url: /api/auth/token/'),44351
POST,/api/auth/token/,HTTPError('403 Client Error: Forbidden for url: /api/auth/token/'),9
