Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/token/,334,332,49,66.24174640719883,7.895000000644359,235.07689999951253,197.98203592814372,2.4332128126928,2.4186426760898487,49,68,86,100,160,180,190,190,240,240,240
GET,/api/secure/ping (invalid),2320,2312,2,224.00283056034357,0.654499999654945,60057.226800000535,133.23793103448276,16.90135845942304,16.843077913011236,2,5,6,6,6,7,8,12,60000,60000,60000
GET,/api/secure/ping (valid),354,345,2,342.1698502824906,0.7525000000896398,59999.737500000265,137.99717514124293,2.5789141787223087,2.51334856400903,2,5,6,6,7,8,11,22,60000,60000,60000
GET,/api/secure/state (invalid),2293,2286,2,174.2683331443603,0.6575999996130122,60058.7800000003,137.82032272132577,16.704661615283204,16.653666137172873,2,5,5,6,6,7,9,22,60000,60000,60000
GET,/api/secure/state (valid),233,232,1,2.870405150207757,0.763399999414105,9.15789999999106,142.0128755364807,1.6974209142437795,1.690135845942304,1,2,6,6,7,7,8,9,9,9,9
,Aggregated,5534,5507,2,192.12243033972157,0.654499999654945,60058.7800000003,139.71810625225876,40.31556798036513,40.118871136225295,2,5,6,6,7,30,80,150,60000,60000,60000
