Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/token/,80,80,51,58.507109999118256,25.670000002719462,306.55639999895357,68.85,0.44590881846585506,0.44590881846585506,52,59,64,71,87,92,300,310,310,310,310
GET,/api/secure/ping (invalid),48541,48541,47,55.016744733347174,3.9290999993681908,222.47620002599433,172.0,270.5607494643884,270.5607494643884,47,58,67,75,110,130,150,170,190,210,220
GET,/api/secure/ping (valid),12067,12067,47,54.9605397362432,4.079599981196225,209.51300000888295,58.0,67.25977140534341,67.25977140534341,47,58,67,75,110,130,150,170,190,210,210
,Aggregated,60688,60688,47,55.01017018024277,3.9290999993681908,306.55639999895357,149.19664513577644,338.26642968819766,338.26642968819766,47,58,67,75,110,130,150,170,190,210,310
