Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,AUTH_TOKEN,55663,55662,4,5.140391121570399,0.9546000001137145,530.1072000002023,68.85018773691681,466.4883265687618,466.47994598692884,4,6,7,7,9,11,14,17,46,57,530
,Aggregated,55663,55662,4,5.140391121570399,0.9546000001137145,530.1072000002023,68.85018773691681,466.4883265687618,466.47994598692884,4,6,7,7,9,11,14,17,46,57,530
